Cautare student dupa ID in baza de date,2025-05-19 16:57:16
Initializare baza de date,2025-05-19 16:57:41
Listare toti studentii din baza de date,2025-05-19 16:57:41
Listare toti profesorii din baza de date,2025-05-19 16:57:41
Listare toate materiile din baza de date,2025-05-19 16:57:41
Listare toate salile din baza de date,2025-05-19 16:57:41
Cautare materie dupa cod in baza de date,2025-05-19 16:57:41
Cautare profesor dupa ID in baza de date,2025-05-19 16:57:41
Cautare sala dupa ID in baza de date,2025-05-19 16:57:41
Cautare student dupa ID in baza de date,2025-05-19 16:57:41
Cautare student dupa ID in baza de date,2025-05-19 16:57:41
Cautare student dupa ID in baza de date,2025-05-19 16:57:41
Cautare student dupa ID in baza de date,2025-05-19 16:57:41
Cautare materie dupa cod in baza de date,2025-05-19 16:57:41
Cautare profesor dupa ID in baza de date,2025-05-19 16:57:41
Cautare sala dupa ID in baza de date,2025-05-19 16:57:41
Cautare materie dupa cod in baza de date,2025-05-19 16:57:41
